mRefOrder	surface	out2ref	language	lemma3	HebforeignKey	foreignKey	seg-pref+suff	help	PREFIX	conj	rel	temp	adv	prep	interrog	art	MAIN	POS	binyan	verbalroot	passive	Pers	Gen	Num	Tense	Status	function	suffix	Pers	Gen	Num
49	מביא	ref.1.11.1.1.49	heb	הביא_1	הביא_1_PARTICIPLE	hbya_1_PARTICIPLE	מביא	ayN_1_COPULA									מביא	PARTICIPLE	hifil	בוא			m	sg		abs					
50	רבי	ref.1.11.1.1.50	heb	רבי_1	רבי_1_TITULAR	rby_1_TITULAR	רבי	hbya_1_PARTICIPLE									רבי	TITULAR					m	sg							
51	יהודה	ref.1.11.1.1.51	heb	יהודה_1	יהודה_1_PROPERNAME	yhwdh_1_PROPERNAME	יהודה	rby_1_TITULAR									יהודה	PROPERNAME					m	sg							
52	אומר	ref.1.11.1.1.52	heb	אמר_1	אמר_1_VERB	amr_1_VERB	אומר	yhwdh_1_PROPERNAME									אומר	VERB	paal	אמר		ANY	m	sg	PRESENT						
53	כזה	ref.1.11.1.1.53	heb	זה_1	זה_1_PRONOUN	zh_1_PRONOUN	כ-ה-זה	amr_1_VERB	כ-ה-					כ		ה	זה	PRONOUN				3	m	sg							
54	מביא	ref.1.11.1.1.54	heb	הביא_1	הביא_1_PARTICIPLE	hbya_1_PARTICIPLE	מביא	zh_1_PRONOUN									מביא	PARTICIPLE	hifil	בוא			m	sg		abs					
55	מאיזה	ref.1.11.1.2.1	heb	איזה_1	איזה_1_INTERROGATIVE	ayzh_1_INTERROGATIVE	מ-איזה	hbya_1_PARTICIPLE	מ-					מ			איזה	INTERROGATIVE					m	sg							
56	טעם	ref.1.11.1.2.2	heb	טעם_1	טעם_1_NOUN	TeM_1_NOUN	טעם	ayzh_1_INTERROGATIVE									טעם	NOUN					m	sg		abs					
57	אינו	ref.1.11.1.2.3	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	אינ+ו	TeM_1_NOUN									אינ	COPULA				3	m	sg	PRESENT		pronomial	ו	3	m	sg
58	מביא	ref.1.11.1.2.4	heb	הביא_1	הביא_1_PARTICIPLE	hbya_1_PARTICIPLE	מביא	ayN_1_COPULA									מביא	PARTICIPLE	hifil	בוא			m	sg		abs					
59	משום	ref.1.11.1.2.5	heb	משום_1	משום_1_CONJUNCTION	mSwM_1_CONJUNCTION	משום	hbya_1_PARTICIPLE									משום	CONJUNCTION													
60	שנאמר	ref.1.11.1.2.6	heb	נאמר_1	נאמר_1_VERB	namr_1_VERB	ש-נאמר	mSwM_1_CONJUNCTION	ש-		ש						נאמר	VERB	nifal	אמר		3	m	sg	PAST						
61	ראשית	ref.1.11.1.2.7	heb	ראשית_1	ראשית_1_NOUN	raSyt_1_NOUN	ראשית	namr_1_VERB									ראשית	NOUN					f	sg		cstr					
62	בכורי	ref.1.11.1.2.8	heb	ביכורים_1	ביכורים_1_NOUN	bykwryM_1_NOUN	בכורי	raSyt_1_NOUN									בכורי	NOUN					m	pl		cstr					
63	אדמתך	ref.1.11.1.2.9	heb	אדמה_1	אדמה_1_NOUN	admh_1_NOUN	אדמת+ך	bykwryM_1_NOUN									אדמת	NOUN					f	sg		abs	poss	ך	2	m	sg
64	עד	ref.1.11.1.2.10	heb	עד_1	עד_1_PREPOSITION	ed_1_PREPOSITION	עד	admh_1_NOUN									עד	PREPOSITION													
65	שיהיו	ref.1.11.1.2.11	heb	היה_1	היה_1_VERB	hyh_1_VERB	ש-יהיו	ed_1_PREPOSITION	ש-		ש						יהיו	VERB	paal	היה		3	mf	pl	FUTURE						
66	כל	ref.1.11.1.2.12	heb	כול_1	כול_1_QUANTIFIER	kwl_1_QUANTIFIER	כל	hyh_1_VERB									כל	QUANTIFIER								cstr					
67	הגדולין	ref.1.11.1.2.13	heb	גידול_1	גידול_1_NOUN	gydwl_1_NOUN	ה-גדולין	kwl_1_QUANTIFIER	ה-							ה	גדולין	NOUN					m	pl		abs					
68	מאדמתך	ref.1.11.1.2.14	heb	אדמה_1	אדמה_1_NOUN	admh_1_NOUN	מ-אדמת+ך	gydwl_1_NOUN	מ-					מ			אדמת	NOUN					f	sg		abs	poss	ך	2	m	sg
69	האריסין	ref.1.11.1.2.15	heb	אריס_1	אריס_1_NOUN	arys_1_NOUN	ה-אריסין	admh_1_NOUN	ה-							ה	אריסין	NOUN					m	pl		abs					
70	והחכורות	ref.1.11.1.2.16	heb	חכור_1	חכור_1_NOUN	Hkwr_1_NOUN	ו-ה-חכורות	arys_1_NOUN	ו-ה-	ו						ה	חכורות	NOUN	paal	חכר	passive		f	pl		abs					
71	והסקריקון	ref.1.11.1.2.17	heb	סיקריקון_1	סיקריקון_1_NOUN	syqryqwN_1_NOUN	ו-ה-סקריקון	Hkwr_1_NOUN	ו-ה-	ו						ה	סקריקון	NOUN					m	sg		abs					
72	והגזלן	ref.1.11.1.2.18	heb	גזלן_1	גזלן_1_NOUN	gzlN_1_NOUN	ו-ה-גזלן	syqryqwN_1_NOUN	ו-ה-	ו						ה	גזלן	NOUN					m	sg		abs					
73	אין	ref.1.11.1.2.19	heb	אין_1	אין_1_NEGATION	ayN_1_NEGATION	אין	gzlN_1_NOUN									אין	NEGATION													
74	מביאין	ref.1.11.1.2.20	heb	הביא_1	הביא_1_VERB	hbya_1_VERB	מביאין	ayN_1_NEGATION									מביאין	VERB	hifil	בוא		ANY	m	pl	PRESENT						
75	מאותו	ref.1.11.1.2.21	heb	אותו_1	אותו_1_QUANTIFIER	awtw_1_QUANTIFIER	מ-אותו	hbya_1_VERB	מ-					מ			אותו	QUANTIFIER								cstr					
76	הטעם	ref.1.11.1.2.22	heb	טעם_1	טעם_1_NOUN	TeM_1_NOUN	ה-טעם	awtw_1_QUANTIFIER	ה-							ה	טעם	NOUN					m	sg		abs					
77	משום	ref.1.11.1.2.23	heb	משום_1	משום_1_CONJUNCTION	mSwM_1_CONJUNCTION	משום	TeM_1_NOUN									משום	CONJUNCTION													
78	שנאמר	ref.1.11.1.2.24	heb	נאמר_1	נאמר_1_VERB	namr_1_VERB	ש-נאמר	mSwM_1_CONJUNCTION	ש-		ש						נאמר	VERB	nifal	אמר		3	m	sg	PAST						
79	ראשית	ref.1.11.1.2.25	heb	ראשית_1	ראשית_1_NOUN	raSyt_1_NOUN	ראשית	namr_1_VERB									ראשית	NOUN					f	sg		cstr					
80	בכורי	ref.1.11.1.2.26	heb	ביכורים_1	ביכורים_1_NOUN	bykwryM_1_NOUN	בכורי	raSyt_1_NOUN									בכורי	NOUN					m	pl		cstr					
81	אדמתך	ref.1.11.1.2.27	heb	אדמה_1	אדמה_1_NOUN	admh_1_NOUN	אדמת+ך	bykwryM_1_NOUN									אדמת	NOUN					f	sg		abs	poss	ך	2	m	sg
82	אין	ref.1.11.1.3.1	heb	אין_1	אין_1_NEGATION	ayN_1_NEGATION	אין	admh_1_NOUN									אין	NEGATION													
83	מביאין	ref.1.11.1.3.2	heb	הביא_1	הביא_1_VERB	hbya_1_VERB	מביאין	ayN_1_NEGATION									מביאין	VERB	hifil	בוא		ANY	m	pl	PRESENT						
84	בכורים	ref.1.11.1.3.3	heb	ביכורים_1	ביכורים_1_NOUN	bykwryM_1_NOUN	בכורים	hbya_1_VERB									בכורים	NOUN					m	pl		abs					
85	חוץ	ref.1.11.1.3.4	heb	חוץ_1	חוץ_1_PREPOSITION	HwC_1_PREPOSITION	חוץ	bykwryM_1_NOUN									חוץ	PREPOSITION													
86	משבעת	ref.1.11.1.3.5	heb	CARD7_1	CARD7_1_NUMERAL	CARD7_1_NUMERAL	מ-שבעת	HwC_1_PREPOSITION	מ-					מ			שבעת	NUMERAL					m	pl		cstr					
87	המינים	ref.1.11.1.3.6	heb	מין_1	מין_1_NOUN	myN_1_NOUN	ה-מינים	CARD7_1_NUMERAL	ה-							ה	מינים	NOUN					m	pl		abs					
88	לא	ref.1.11.1.3.7	heb	לא_1	לא_1_NEGATION	la_1_NEGATION	לא	myN_1_NOUN									לא	NEGATION													
89	מתמרים	ref.1.11.1.3.8	heb	תמר_1	תמר_1_NOUN	tmr_1_NOUN	מ-תמרים	la_1_NEGATION	מ-					מ			תמרים	NOUN					m	pl		abs					
90	שבהרים	ref.1.11.1.3.9	heb	הר_1	הר_1_NOUN	hr_1_NOUN	ש-ב-ה-הרים	tmr_1_NOUN	ש-ב-ה-		ש			ב		ה	הרים	NOUN					m	pl		abs					
91	ולא	ref.1.11.1.3.10	heb	לא_1	לא_1_NEGATION	la_1_NEGATION	ו-לא	hr_1_NOUN	ו-	ו							לא	NEGATION													
92	מפירות	ref.1.11.1.3.11	heb	פרי_1	פרי_1_NOUN	pry_1_NOUN	מ-פירות	la_1_NEGATION	מ-					מ			פירות	NOUN					m	pl		abs					
93	שבעמקים	ref.1.11.1.3.12	heb	עמק_1	עמק_1_NOUN	emq_1_NOUN	ש-ב-ה-עמקים	pry_1_NOUN	ש-ב-ה-		ש			ב		ה	עמקים	NOUN					m	pl		abs					
94	ולא	ref.1.11.1.3.13	heb	לא_1	לא_1_NEGATION	la_1_NEGATION	ו-לא	emq_1_NOUN	ו-	ו							לא	NEGATION													
95	מזיתי	ref.1.11.1.3.14	heb	זית_1	זית_1_NOUN	zyt_1_NOUN	מ-זיתי	la_1_NEGATION	מ-					מ			זיתי	NOUN					m	pl		cstr					
96	שמן	ref.1.11.1.3.15	heb	שמן_1	שמן_1_NOUN	SmN_1_NOUN	שמן	zyt_1_NOUN									שמן	NOUN					m	sg		abs					
97	שאינם	ref.1.11.1.3.16	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	ש-אינ+ם	SmN_1_NOUN	ש-		ש						אינ	COPULA				3	m	pl	PRESENT		pronomial	ם	3	m	pl
98	מן	ref.1.11.1.3.17	heb	מן_1	מן_1_PREPOSITION	mN_1_PREPOSITION	מן	ayN_1_COPULA									מן	PREPOSITION													
99	המובחר	ref.1.11.1.3.18	heb	מבחר_1	מבחר_1_NOUN	mbHr_1_NOUN	ה-מובחר	mN_1_PREPOSITION	ה-							ה	מובחר	NOUN					m	sg		abs					
100	אין	ref.1.11.1.3.19	heb	אין_1	אין_1_NEGATION	ayN_1_NEGATION	אין	mbHr_1_NOUN									אין	NEGATION													
101	מביאין	ref.1.11.1.3.20	heb	הביא_1	הביא_1_VERB	hbya_1_VERB	מביאין	ayN_1_NEGATION									מביאין	VERB	hifil	בוא		ANY	m	pl	PRESENT						
102	בכורים	ref.1.11.1.3.21	heb	ביכורים_1	ביכורים_1_NOUN	bykwryM_1_NOUN	בכורים	hbya_1_VERB									בכורים	NOUN					m	pl		abs					
103	קודם	ref.1.11.1.3.22	heb	קודם_1	קודם_1_PREPOSITION	qwdM_1_PREPOSITION	קודם	bykwryM_1_NOUN									קודם	PREPOSITION													
104	לעצרת	ref.1.11.1.3.23	heb	עצרת_1	עצרת_1_NOUN	ecrt_1_NOUN	ל-עצרת	qwdM_1_PREPOSITION	ל-					ל			עצרת	NOUN					f	sg		abs					
105	אנשי	ref.1.11.1.3.24	heb	איש_1	איש_1_NOUN	ayS_1_NOUN	אנשי	ecrt_1_NOUN									אנשי	NOUN					m	pl		cstr					
106	הר	ref.1.11.1.3.25	heb	הר_1	הר_1_NOUN	hr_1_NOUN	הר	ayS_1_NOUN									הר	NOUN					m	sg		cstr					
107	צבועים	ref.1.11.1.3.26	heb	צבועים_1	צבועים_1_PROPERNAME	cbweyM_1_PROPERNAME	צבועים	hr_1_NOUN									צבועים	PROPERNAME					m	sg							
108	הביאו	ref.1.11.1.3.27	heb	הביא_1	הביא_1_VERB	hbya_1_VERB	הביאו	cbweyM_1_PROPERNAME									הביאו	VERB	hifil	בוא		3	mf	pl	PAST						
109	בכוריהם	ref.1.11.1.3.28	heb	ביכורים_1	ביכורים_1_NOUN	bykwryM_1_NOUN	בכור+יהם	hbya_1_VERB									בכור	NOUN					m	pl		abs	poss	יהם	3	m	pl
110	קודם	ref.1.11.1.3.29	heb	קודם_1	קודם_1_PREPOSITION	qwdM_1_PREPOSITION	קודם	bykwryM_1_NOUN									קודם	PREPOSITION													
111	לעצרת	ref.1.11.1.3.30	heb	עצרת_1	עצרת_1_NOUN	ecrt_1_NOUN	ל-ה-עצרת	qwdM_1_PREPOSITION	ל-ה-					ל		ה	עצרת	NOUN					f	sg		abs					
112	ולא	ref.1.11.1.3.31	heb	לא_1	לא_1_NEGATION	la_1_NEGATION	ו-לא	ecrt_1_NOUN	ו-	ו							לא	NEGATION													
113	קבלו	ref.1.11.1.3.32	heb	קיבל_1	קיבל_1_VERB	qybl_1_VERB	קבלו	la_1_NEGATION									קבלו	VERB	piel	קבל		3	mf	pl	PAST						
114	מהם	ref.1.11.1.3.33	heb	מן_1	מן_1_PREPOSITION	mN_1_PREPOSITION	מ+הם	qybl_1_VERB									מ	PREPOSITION									pronomial	הם	3	m	pl
115	מפני	ref.1.11.1.3.34	heb	מפני_1	מפני_1_PREPOSITION	mpny_1_PREPOSITION	מפני	mN_1_PREPOSITION									מפני	PREPOSITION													
116	הכתוב	ref.1.11.1.3.35	heb	כתוב_1	כתוב_1_ADJECTIVE	ktwb_1_ADJECTIVE	ה-כתוב	mpny_1_PREPOSITION	ה-							ה	כתוב	ADJECTIVE	paal	כתב	passive		m	sg		abs					
117	שבתורה	ref.1.11.1.3.36	heb	תורה_1	תורה_1_NOUN	twrh_1_NOUN	ש-ב-ה-תורה	ktwb_1_ADJECTIVE	ש-ב-ה-		ש			ב		ה	תורה	NOUN					f	sg		abs					
118	וחג	ref.1.11.1.3.37	heb	חג_1	חג_1_NOUN	Hg_1_NOUN	ו-חג	twrh_1_NOUN	ו-	ו							חג	NOUN					m	sg		cstr					
119	הקציר	ref.1.11.1.3.38	heb	קציר_1	קציר_1_NOUN	qcyr_1_NOUN	ה-קציר	Hg_1_NOUN	ה-							ה	קציר	NOUN					m	sg		abs					
120	בכורי	ref.1.11.1.3.39	heb	ביכורים_1	ביכורים_1_NOUN	bykwryM_1_NOUN	בכורי	qcyr_1_NOUN									בכורי	NOUN					m	pl		cstr					
121	מעשיך	ref.1.11.1.3.40	heb	מעשה_1	מעשה_1_NOUN	meSh_1_NOUN	מעשי+ך	bykwryM_1_NOUN									מעשי	NOUN					m	pl		abs	poss	ך	2	m	sg
122	אשר	ref.1.11.1.3.41	heb	אשר_1	אשר_1_CONJUNCTION	aSr_1_CONJUNCTION	אשר	meSh_1_NOUN									אשר	CONJUNCTION													
123	תזרע	ref.1.11.1.3.42	heb	זרע_1	זרע_1_VERB	zre_1_VERB	תזרע	aSr_1_CONJUNCTION									תזרע	VERB	paal	זרע		2	m	sg	FUTURE						
124	בשדה	ref.1.11.1.3.43	heb	שדה_1	שדה_1_NOUN	Sdh_1_NOUN	ב-ה-שדה	zre_1_VERB	ב-ה-					ב		ה	שדה	NOUN					mf	sg		abs					
125	אלו	ref.1.11.1.4.1	heb	אלו_1	אלו_1_INTERROGATIVE	alw_1_INTERROGATIVE	אלו	Sdh_1_NOUN									אלו	INTERROGATIVE					mf	pl							
126	מביאין	ref.1.11.1.4.2	heb	הביא_1	הביא_1_PARTICIPLE	hbya_1_PARTICIPLE	מביאין	alw_1_INTERROGATIVE									מביאין	PARTICIPLE	hifil	בוא			m	pl		abs					
127	ולא	ref.1.11.1.4.3	heb	לא_1	לא_1_NEGATION	la_1_NEGATION	ו-לא	hbya_1_PARTICIPLE	ו-	ו							לא	NEGATION													
128	קורין	ref.1.11.1.4.4	heb	קרא_1	קרא_1_PARTICIPLE	qra_1_PARTICIPLE	קורין	la_1_NEGATION									קורין	PARTICIPLE	paal	קרא			m	pl		abs					
129	הגר	ref.1.11.1.4.5	heb	גר_1	גר_1_NOUN	gr_1_NOUN	ה-גר	qra_1_PARTICIPLE	ה-							ה	גר	NOUN					m	sg		abs					
130	מביא	ref.1.11.1.4.6	heb	הביא_1	הביא_1_PARTICIPLE	hbya_1_PARTICIPLE	מביא	gr_1_NOUN									מביא	PARTICIPLE	hifil	בוא			m	sg		abs					
131	ואינו	ref.1.11.1.4.7	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	ו-אינ+ו	hbya_1_PARTICIPLE	ו-	ו							אינ	COPULA				3	m	sg	PRESENT		pronomial	ו	3	m	sg
132	קורא	ref.1.11.1.4.8	heb	קרא_1	קרא_1_PARTICIPLE	qra_1_PARTICIPLE	קורא	ayN_1_COPULA									קורא	PARTICIPLE	paal	קרא			m	sg		abs					
133	שאינו	ref.1.11.1.4.9	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	ש-אינ+ו	qra_1_PARTICIPLE	ש-		ש						אינ	COPULA				3	m	sg	PRESENT		pronomial	ו	3	m	sg
134	יכול	ref.1.11.1.4.10	heb	יכל_1	יכל_1_MODAL	ykl_1_MODAL	יכול	ayN_1_COPULA									יכול	MODAL				ANY	m	sg	PRESENT						
135	לומר	ref.1.11.1.4.11	heb	אמר_1	אמר_1_VERB	amr_1_VERB	לומר	ykl_1_MODAL									לומר	VERB	paal	אמר					TOINF						
136	אשר	ref.1.11.1.4.12	heb	אשר_1	אשר_1_CONJUNCTION	aSr_1_CONJUNCTION	אשר	amr_1_VERB									אשר	CONJUNCTION													
137	נשבע	ref.1.11.1.4.13	heb	נשבע_1	נשבע_1_VERB	nSbe_1_VERB	נשבע	aSr_1_CONJUNCTION									נשבע	VERB	nifal	שבע		3	m	sg	PAST						
138	ה׳	ref.1.11.1.4.14	heb	ה_1	ה_1_PROPERNAME	h_1_PROPERNAME	ה׳	nSbe_1_VERB									ה׳	PROPERNAME					m	sg							
139	לאבותינו	ref.1.11.1.4.15	heb	אב_1	אב_1_NOUN	ab_1_NOUN	ל-אבות+ינו	h_1_PROPERNAME	ל-					ל			אבות	NOUN					m	pl		abs	poss	ינו	1	mf	pl
140	לתת	ref.1.11.1.4.16	heb	נתן_1	נתן_1_VERB	ntN_1_VERB	לתת	ab_1_NOUN									לתת	VERB	paal	נתן					TOINF						
141	לנו	ref.1.11.1.4.17	heb	ל_1	ל_1_PREPOSITION	l_1_PREPOSITION	ל+נו	ntN_1_VERB									ל	PREPOSITION									pronomial	נו	1	mf	pl
142	ואם	ref.1.11.1.4.18	heb	אם_1	אם_1_CONJUNCTION	aM_1_CONJUNCTION	ו-אם	l_1_PREPOSITION	ו-	ו							אם	CONJUNCTION													
